nome_bairro,desc_atividade,nome_grupo,n
VARZEA,"ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXC ANDAIMES",GUARDA E LOCACAO DE BENS MOVEIS,1
VARZEA,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APAR DE USO DOMÉST E PESSOAL/ INSTRUMENT MUSICAIS",GUARDA E LOCACAO DE BENS MOVEIS,1
VARZEA,"ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPOR, EXC ANDAIMES",GUARDA E LOCACAO DE BENS MOVEIS,1
VARZEA,APICULTURA,ATIVIDADES AGROPECUARIAS E EXTRATIVAS,1
VARZEA,ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS P/ REALIZ DE EXAMES COMPLEMENTARES,SAUDE,1
VARZEA,ATIVIDADE ODONTOLÓGICA,SAUDE,1
VARZEA,ATIVIDADES ASSOCIATIVAS NÃO ESPECIFICADAS ANTERIORMENTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",1
VARZEA,"ATIVIDADES DE ARTISTAS PLÁSTICOS, JORNALISTAS INDEPENDENTES E ESCRITORES",TECNICO-CIENTIFICO,1
VARZEA,ATIVIDADES DE ASSISTÊNCIA SOCIAL PRESTEM RESIDÊNC COLET E PARTICULARES N/ ESP ANTER,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",1
VARZEA,Atividades de estetica e outros servicos de cuidados com a beleza,BELEZA E HIGIENE PESSOAL,1
VARZEA,ATIVIDADES DE FRANQUEADAS  DO CORREIO NACIONAL,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",1
VARZEA,ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃO DE MÚSICA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",1
VARZEA,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS LIGADAS À CULTURA E À ARTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",1
VARZEA,ATIVIDADES DE PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE HUMANA,SAUDE,1
VARZEA,"ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, EXCETO AÉREA E SUBMARINA","FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",1
VARZEA,ATIVIDADES DE PROFISSIONAIS DA ÁREA DE SAÚDE NÃO ESPECIFICADAS ANTERIORMENTE,SAUDE,1
VARZEA,ATIVIDADES DE PSICOLOGIA E PSICANÁLISE,SAUDE,1
VARZEA,ATIVIDADES DE TERAPIA OCUPACIONAL,SAUDE,1
VARZEA,ATIVIDADES PAISAGÍSTICAS,TECNICO-CIENTIFICO,1
VARZEA,ATIVIDADES TÉCNICAS RELACIONADAS À ENGENHARIA E ARQUITETURA N/ ESP ANTERIORMENTE,TECNICO-CIENTIFICO,1
VARZEA,ATIVIDADES VETERINÁRIAS,VETERINARIO E SIMILARES,1
VARZEA,"BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL",INSTITUICOES FINANCEIRAS E SECURITARIAS,1
VARZEA,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",OUTRAS ATIVIDADES VAREJISTAS,1
VARZEA,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA","SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",1
VARZEA,CASAS DE FESTAS E EVENTOS,DIVERSOES PUBLICAS,1
VARZEA,"COM VAR DE MERC EM GERAL, COM PREDOMIN DE PROD ALIMENTÍCIOS - HIPERMERCADOS",SUPERMERCADOS E LOJAS DE DEPARTAMENTOS,1
VARZEA,"COM VAR DE MERC EM GERAL, COM PREDOMIN DE PROD ALIMENTÍCIOS - SUPERMERCADOS",SUPERMERCADOS E LOJAS DE DEPARTAMENTOS,1
VARZEA,COMÉRCIO ATAC DE BEBIDAS COM ATIV DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA,COMERCIO ATACADISTA,1
VARZEA,"COMÉRCIO ATAC DE FRUTAS, VERDURAS, RAÍZES, TUBÉRCULOS, HORTAL E LEG FRESCOS",COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE ARTIGOS DE ARMARINHO,COMERCIO ATACADISTA,1
VARZEA,"COMÉRCIO ATACADISTA DE ARTIGOS DO VESTUÁR E ACESSÓRIOS, EXC PROF E DE SEGURANÇA",COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE AVES VIVAS E OVOS,COMERCIO ATACADISTA,1
VARZEA,"COMÉRCIO ATACADISTA DE BOLSAS, MALAS E ARTIGOS DE VIAGEM",COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES/ PARTES E PEÇAS,COMERCIO ATACADISTA,1
VARZEA,"COMÉRCIO ATACADISTA DE CAFÉ TORRADO, MOÍDO E SOLÚVEL",COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS,COMERCIO ATACADISTA,1
VARZEA,"COMÉRCIO ATACADISTA DE CHOCOLATES, CONFEITOS, BALAS, BOMBONS E SEMELHANTES",COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE MASSAS ALIMENTÍCIAS,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO,COMERCIO ATACADISTA,1
